Number of nodes is: 3
Number of cores/ranks per node is: 64
METIS partitioner
Cell on rank 0 before loadbalancing: 5841
Cell on rank 1 before loadbalancing: 5839
Cell on rank 2 before loadbalancing: 5849
Cell on rank 3 before loadbalancing: 5836
Cell on rank 4 before loadbalancing: 5852
Cell on rank 5 before loadbalancing: 5838
Cell on rank 6 before loadbalancing: 5837
Cell on rank 7 before loadbalancing: 5848
Cell on rank 8 before loadbalancing: 5841
Cell on rank 9 before loadbalancing: 5835
Cell on rank 10 before loadbalancing: 5843
Cell on rank 11 before loadbalancing: 5828
Cell on rank 12 before loadbalancing: 5836
Cell on rank 13 before loadbalancing: 5846
Cell on rank 14 before loadbalancing: 5843
Cell on rank 15 before loadbalancing: 5856
Cell on rank 16 before loadbalancing: 5843
Cell on rank 17 before loadbalancing: 5860
Cell on rank 18 before loadbalancing: 5842
Cell on rank 19 before loadbalancing: 5855
Cell on rank 20 before loadbalancing: 5836
Cell on rank 21 before loadbalancing: 5846
Cell on rank 22 before loadbalancing: 5847
Cell on rank 23 before loadbalancing: 5853
Cell on rank 24 before loadbalancing: 5844
Cell on rank 25 before loadbalancing: 5850
Cell on rank 26 before loadbalancing: 5852
Cell on rank 27 before loadbalancing: 5847
Cell on rank 28 before loadbalancing: 5839
Cell on rank 29 before loadbalancing: 5839
Cell on rank 30 before loadbalancing: 5850
Cell on rank 31 before loadbalancing: 5838
Cell on rank 32 before loadbalancing: 5851
Cell on rank 33 before loadbalancing: 5852
Cell on rank 34 before loadbalancing: 5841
Cell on rank 35 before loadbalancing: 5844
Cell on rank 36 before loadbalancing: 5842
Cell on rank 37 before loadbalancing: 5854
Cell on rank 38 before loadbalancing: 5849
Cell on rank 39 before loadbalancing: 5840
Cell on rank 40 before loadbalancing: 5844
Cell on rank 41 before loadbalancing: 5843
Cell on rank 42 before loadbalancing: 5844
Cell on rank 43 before loadbalancing: 5840
Cell on rank 44 before loadbalancing: 5843
Cell on rank 45 before loadbalancing: 5852
Cell on rank 46 before loadbalancing: 5841
Cell on rank 47 before loadbalancing: 5843
Cell on rank 48 before loadbalancing: 5851
Cell on rank 49 before loadbalancing: 5849
Cell on rank 50 before loadbalancing: 5841
Cell on rank 51 before loadbalancing: 5841
Cell on rank 52 before loadbalancing: 5834
Cell on rank 53 before loadbalancing: 5852
Cell on rank 54 before loadbalancing: 5856
Cell on rank 55 before loadbalancing: 5833
Cell on rank 56 before loadbalancing: 5850
Cell on rank 57 before loadbalancing: 5844
Cell on rank 58 before loadbalancing: 5838
Cell on rank 59 before loadbalancing: 5842
Cell on rank 60 before loadbalancing: 5840
Cell on rank 61 before loadbalancing: 5854
Cell on rank 62 before loadbalancing: 5842
Cell on rank 63 before loadbalancing: 5840
