Number of nodes is: 3
Number of cores/ranks per node is: 64
Metis Uniform CellNode
Cell on rank 0 before loadbalancing: 1839
Cell on rank 1 before loadbalancing: 1854
Cell on rank 2 before loadbalancing: 1868
Cell on rank 3 before loadbalancing: 1868
Cell on rank 4 before loadbalancing: 1867
Cell on rank 5 before loadbalancing: 1867
Cell on rank 6 before loadbalancing: 1843
Cell on rank 7 before loadbalancing: 1864
Cell on rank 8 before loadbalancing: 1865
Cell on rank 9 before loadbalancing: 1841
Cell on rank 10 before loadbalancing: 1869
Cell on rank 11 before loadbalancing: 1869
Cell on rank 12 before loadbalancing: 1839
Cell on rank 13 before loadbalancing: 1832
Cell on rank 14 before loadbalancing: 1868
Cell on rank 15 before loadbalancing: 1869
Cell on rank 16 before loadbalancing: 1832
Cell on rank 17 before loadbalancing: 1832
Cell on rank 18 before loadbalancing: 1863
Cell on rank 19 before loadbalancing: 1840
Cell on rank 20 before loadbalancing: 1846
Cell on rank 21 before loadbalancing: 1856
Cell on rank 22 before loadbalancing: 1838
Cell on rank 23 before loadbalancing: 1850
Cell on rank 24 before loadbalancing: 1869
Cell on rank 25 before loadbalancing: 1837
Cell on rank 26 before loadbalancing: 1869
Cell on rank 27 before loadbalancing: 1845
Cell on rank 28 before loadbalancing: 1849
Cell on rank 29 before loadbalancing: 1867
Cell on rank 30 before loadbalancing: 1869
Cell on rank 31 before loadbalancing: 1832
Cell on rank 32 before loadbalancing: 1847
Cell on rank 33 before loadbalancing: 1833
Cell on rank 34 before loadbalancing: 1866
Cell on rank 35 before loadbalancing: 1846
Cell on rank 36 before loadbalancing: 1863
Cell on rank 37 before loadbalancing: 1869
Cell on rank 38 before loadbalancing: 1834
Cell on rank 39 before loadbalancing: 1865
Cell on rank 40 before loadbalancing: 1868
Cell on rank 41 before loadbalancing: 1836
Cell on rank 42 before loadbalancing: 1851
Cell on rank 43 before loadbalancing: 1869
Cell on rank 44 before loadbalancing: 1853
Cell on rank 45 before loadbalancing: 1836
Cell on rank 46 before loadbalancing: 1832
Cell on rank 47 before loadbalancing: 1832
Cell on rank 48 before loadbalancing: 1869
Cell on rank 49 before loadbalancing: 1860
Cell on rank 50 before loadbalancing: 1855
Cell on rank 51 before loadbalancing: 1863
Cell on rank 52 before loadbalancing: 1869
Cell on rank 53 before loadbalancing: 1864
Cell on rank 54 before loadbalancing: 1832
Cell on rank 55 before loadbalancing: 1840
Cell on rank 56 before loadbalancing: 1850
Cell on rank 57 before loadbalancing: 1859
Cell on rank 58 before loadbalancing: 1842
Cell on rank 59 before loadbalancing: 1866
Cell on rank 60 before loadbalancing: 1851
Cell on rank 61 before loadbalancing: 1836
Cell on rank 62 before loadbalancing: 1834
Cell on rank 63 before loadbalancing: 1869
Cell on rank 64 before loadbalancing: 1868
Cell on rank 65 before loadbalancing: 1869
Cell on rank 66 before loadbalancing: 1867
Cell on rank 67 before loadbalancing: 1869
Cell on rank 68 before loadbalancing: 1866
Cell on rank 69 before loadbalancing: 1858
Cell on rank 70 before loadbalancing: 1837
Cell on rank 71 before loadbalancing: 1848
Cell on rank 72 before loadbalancing: 1869
Cell on rank 73 before loadbalancing: 1835
Cell on rank 74 before loadbalancing: 1854
Cell on rank 75 before loadbalancing: 1869
Cell on rank 76 before loadbalancing: 1869
